Nodes_16,Input_2000,ScatteringOrder_l0,DRAMPowerPerNode,ProcessorPowerPerNode,Ranks,Nesting_DGZ,Nesting_DZG,Nesting_GDZ,Nesting_GZD,Nesting_ZDG,Nesting_ZGD,Layout_0,Dset,Gset,Method_sweep,OMP,PKG_LIMIT,DRAM_LIMIT,AvgInst,AvgIpc,AvgArithFpu,AvgFreq,AvgTemp,ProcessorPower,DRAMPower,ExecTime,Input_12000,ScatteringOrder_l9,Nodes_64,Energy
1,1,1,32.00599375,106.3931813,32,1,0,0,0,0,0,1,16,8,1,4,60,0,89521913651,5.1835,614046512.6,2.5798,35.2732,1702.2909,512.0959,7.2094,0,0,0,15964.4002
1,1,1,32.63255625,115.3762438,32,1,0,0,0,0,0,1,16,8,1,4,65,0,83268957618,5.4498,613245352.3,2.7314,35.6671,1846.0199,522.1209,6.2072,0,0,0,14699.52357
1,1,1,33.000075,119.0817938,32,1,0,0,0,0,0,1,16,8,1,4,70,0,81500190785,5.667,612839084.4,2.786,36.1699,1905.3087,528.0012,6.007,0,0,0,14616.89257
1,1,1,32.77525,120.1708813,32,1,0,0,0,0,0,1,16,8,1,4,75,0,81824599135,5.6667,612905691.1,2.7988,37.8097,1922.7341,524.404,6.0069,0,0,0,14699.71385
1,1,1,32.88841875,119.7721813,32,1,0,0,0,0,0,1,16,8,1,4,80,0,81859317241,5.6805,612866657.5,2.8018,37.3288,1916.3549,526.2147,6.0069,0,0,0,14672.27133
1,1,1,32.9531625,120.4216375,32,1,0,0,0,0,0,1,16,8,1,4,85,0,81446299500,5.6633,612648607.5,2.8002,37.25,1926.7462,527.2506,6.0068,0,0,0,14740.66798
1,1,1,32.82181875,119.7390438,32,1,0,0,0,0,0,1,16,8,1,4,90,0,80546389599,5.6008,612732752.6,2.8003,38.4315,1915.8247,525.1491,6.0069,0,0,0,14662.68552
1,1,1,32.84729375,120.5569,32,1,0,0,0,0,0,1,16,8,1,4,95,0,82260062238,5.7199,613019985.8,2.8009,38.6074,1928.9104,525.5567,6.007,0,0,0,14743.98387
1,1,1,32.8474,120.1634688,32,1,0,0,0,0,0,1,16,8,1,4,100,0,81840511263,5.6907,612907868.9,2.8005,37.9194,1922.6155,525.5584,6.0069,0,0,0,14705.9358
1,1,1,30.59934375,90.55480625,32,1,0,0,0,0,0,1,16,16,1,4,50,0,1.21E+11,4.4616,615902041.1,2.1773,33.8139,1448.8769,489.5895,11.2375,0,0,0,21783.51617
