Nodes_16,Input_12000,ScatteringOrder_l0,DRAMPowerPerNode,ProcessorPowerPerNode,Ranks,Nesting_DGZ,Nesting_DZG,Nesting_GDZ,Nesting_GZD,Nesting_ZDG,Nesting_ZGD,Layout_0,Dset,Gset,Method_sweep,OMP,PKG_LIMIT,DRAM_LIMIT,AvgInst,AvgIpc,AvgArithFpu,AvgFreq,AvgTemp,ProcessorPower,DRAMPower,ExecTime,Input_2000,ScatteringOrder_l9,Nodes_64
1.0,1.0,1.0,35.45586875,119.05636875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,4,1.0,4,95,0,1.35930121584e+12,6.8461,709890894.25,2.8011,38.9892,1904.9019,567.2939,82.9107,0.0,0.0,0.0
1.0,1.0,1.0,35.5006875,118.62328125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,4,1.0,4,100,0,1.36023786543e+12,6.82,710918396.938,2.8014,38.4294,1897.9725,568.011,83.3057,0.0,0.0,0.0
1.0,1.0,1.0,33.50895,100.0718625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,8,1.0,4,55,0,1.44228076529e+12,6.1071,726989584.312,2.4722,35.1349,1601.1498,536.1432,98.6004,0.0,0.0,0.0
1.0,1.0,1.0,34.60751875,109.0510875,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,8,1.0,4,60,0,1.40011267686e+12,6.7741,710302620.5,2.6714,35.2534,1744.8174,553.7203,86.3152,0.0,0.0,0.0
1.0,1.0,1.0,35.15063125,115.15878125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,8,1.0,4,65,0,1.37150833865e+12,7.0807,701277472.312,2.7603,36.0543,1842.5405,562.4101,80.9029,0.0,0.0,0.0
1.0,1.0,1.0,35.2426625,117.99738125,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,8,1.0,4,70,0,1.35766979021e+12,7.2064,696234530.438,2.7929,37.507,1887.9581,563.8826,78.7006,0.0,0.0,0.0
1.0,1.0,1.0,35.24408125,118.54839375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,8,1.0,4,75,0,1.36070269285e+12,7.1851,697694408.5,2.8002,37.753,1896.7743,563.9053,79.0996,0.0,0.0,0.0
1.0,1.0,1.0,35.14974375,118.27819375,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,8,1.0,4,80,0,1.36827154806e+12,7.1524,700749844.625,2.8018,38.138,1892.4511,562.3959,79.9018,0.0,0.0,0.0
1.0,1.0,1.0,35.30353125,118.459475,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,8,1.0,4,85,0,1.35717074438e+12,7.2219,696690913.688,2.8011,38.3121,1895.3516,564.8565,78.4991,0.0,0.0,0.0
1.0,1.0,1.0,35.2015875,118.74155625,32,1.0,0.0,0.0,0.0,0.0,0.0,1.0,16,8,1.0,4,90,0,1.36154312064e+12,7.177,697716417.125,2.8013,38.6997,1899.8649,563.2254,79.3,0.0,0.0,0.0
